Date,Open,High,Low,Close,Adj Close,Volume
2014-10-07,125.900002,126.660004,124.680000,124.730003,120.498444,1351700
2014-10-08,125.209999,127.459999,124.910004,127.419998,123.097176,1123600
2014-10-09,127.349998,128.460007,124.699997,125.029999,120.788261,1024200
2014-10-10,125.370003,127.870003,125.169998,126.389999,122.102119,1536200
2014-10-13,126.300003,128.399994,124.510002,124.629997,120.401833,1135700
2014-10-14,125.070000,125.070000,122.330002,124.199997,119.986404,1338200
2014-10-15,122.750000,124.830002,121.040001,124.169998,119.957428,1340100
2014-10-16,122.959999,129.479996,122.959999,125.730003,121.464508,1668200
2014-10-17,126.779999,128.539993,125.660004,128.229996,123.879692,1004500
2014-10-20,128.139999,130.169998,128.100006,130.100006,125.686272,868400
2014-10-21,131.440002,133.779999,130.240005,133.270004,128.748718,924300
2014-10-22,133.750000,133.779999,131.100006,131.470001,127.009766,1497800
2014-10-23,132.880005,133.380005,132.250000,132.630005,128.130386,727300
2014-10-24,132.720001,133.160004,131.619995,133.110001,128.594162,610000
2014-10-27,133.100006,133.710007,132.440002,132.729996,128.227036,1092600
2014-10-28,131.139999,134.910004,130.509995,134.729996,130.159180,806800
2014-10-29,135.000000,136.600006,134.259995,134.949997,130.371689,741500
2014-10-30,134.509995,138.000000,134.509995,137.179993,132.526062,847500
2014-10-31,138.929993,139.869995,138.309998,138.850006,134.139374,1219100
2014-11-03,139.000000,139.750000,137.639999,138.479996,133.781921,818000
2014-11-04,138.500000,139.649994,137.220001,137.750000,133.076736,1138300
2014-11-05,139.449997,139.940002,137.130005,138.940002,134.226349,1582000
2014-11-06,139.059998,140.649994,138.729996,139.869995,135.124802,1395500
2014-11-07,131.399994,135.750000,129.309998,130.580002,126.149979,5468300
2014-11-10,131.509995,133.210007,131.160004,132.460007,127.966179,2620300
2014-11-11,132.949997,136.589996,132.949997,136.440002,131.811172,1411100
2014-11-12,136.089996,137.750000,134.440002,137.250000,132.593704,1376100
2014-11-13,137.490005,139.300003,136.960007,138.410004,133.714355,1485700
2014-11-14,138.110001,138.429993,135.410004,135.770004,131.163925,1179800
2014-11-17,136.000000,138.089996,135.570007,137.470001,132.806259,721900
2014-11-18,137.910004,140.759995,137.559998,139.289993,134.564484,1114700
2014-11-19,139.020004,139.440002,136.169998,136.559998,131.927109,1041000
2014-11-20,136.119995,136.710007,135.380005,136.199997,131.579300,984600
2014-11-21,137.500000,137.789993,136.020004,136.419998,131.791870,1118300
2014-11-24,137.300003,140.460007,136.710007,139.839996,135.095825,1388800
2014-11-25,139.839996,140.919998,137.630005,137.690002,133.018768,1667400
2014-11-26,138.179993,138.690002,136.669998,137.490005,132.825577,806200
2014-11-28,137.539993,138.979996,137.449997,137.970001,133.289291,814500
2014-12-01,137.649994,140.619995,137.259995,139.080002,134.361618,1114800
2014-12-02,138.360001,140.220001,137.179993,140.119995,135.366302,1041800
2014-12-03,141.119995,144.300003,140.559998,141.710007,136.902359,1475400
2014-12-04,141.119995,141.580002,139.520004,141.119995,136.332382,983000
2014-12-05,141.619995,145.759995,141.470001,144.320007,139.423828,2356100
2014-12-08,143.970001,145.259995,143.759995,144.570007,139.665359,1121100
2014-12-09,142.229996,143.919998,142.020004,143.449997,138.583313,699700
2014-12-10,142.250000,142.789993,140.399994,141.440002,136.641525,1333100
2014-12-11,141.669998,144.490005,141.669998,142.479996,137.646240,777200
2014-12-12,141.720001,146.000000,141.649994,143.600006,138.728256,1421400
2014-12-15,144.000000,144.539993,141.009995,143.080002,138.225906,1051800
2014-12-16,142.710007,145.600006,141.000000,141.149994,136.361359,1409100
2014-12-17,141.210007,144.470001,141.210007,143.330002,138.467407,1194700
2014-12-18,144.809998,149.089996,143.369995,149.070007,144.012665,1393800
2014-12-19,149.839996,151.520004,146.419998,146.470001,141.500916,2094000
2014-12-22,146.240005,147.860001,146.229996,146.339996,141.375320,1188500
2014-12-23,147.490005,148.039993,143.740005,144.690002,139.781281,1300900
2014-12-24,145.160004,145.229996,144.190002,144.380005,139.481812,267300
2014-12-26,145.119995,145.740005,144.309998,145.070007,140.148438,695700
2014-12-29,144.750000,145.429993,143.050003,144.479996,139.848297,536000
2014-12-30,144.350006,146.139999,144.149994,145.770004,141.097000,689400
2014-12-31,145.809998,148.139999,143.479996,143.630005,139.025604,662700
2015-01-02,144.949997,146.509995,141.389999,142.990005,138.406082,982800
2015-01-05,141.690002,142.759995,138.690002,139.199997,134.737579,1686700
2015-01-06,140.210007,141.490005,137.449997,139.089996,134.631119,1770100
2015-01-07,139.729996,142.240005,139.729996,141.729996,137.186493,877400
2015-01-08,143.619995,148.389999,143.619995,147.830002,143.090912,1350000
2015-01-09,147.339996,148.059998,146.570007,146.750000,142.045547,1221900
2015-01-12,146.660004,147.699997,144.869995,145.509995,140.845306,790000
2015-01-13,147.250000,149.220001,145.779999,146.839996,142.132660,794100
2015-01-14,145.250000,147.729996,144.490005,147.550003,142.819946,945600
2015-01-15,147.899994,149.759995,147.449997,147.919998,143.178040,882400
2015-01-16,147.830002,150.059998,146.830002,149.940002,145.133316,816300
2015-01-20,150.860001,151.119995,146.990005,148.970001,144.194412,1659000
2015-01-21,149.429993,154.380005,149.130005,153.279999,148.366196,1642900
2015-01-22,153.710007,154.460007,151.600006,153.649994,148.724365,988800
2015-01-23,153.940002,155.300003,151.369995,151.470001,146.614212,659400
2015-01-26,150.970001,152.309998,148.899994,152.000000,147.127258,822700
2015-01-27,151.050003,152.050003,150.050003,150.750000,145.917297,634100
2015-01-28,151.600006,152.300003,148.490005,148.910004,144.136353,982100
2015-01-29,149.000000,149.960007,146.199997,149.619995,144.823532,915300
2015-01-30,148.020004,149.649994,145.960007,146.440002,141.745499,1005800
2015-02-02,146.880005,147.110001,143.440002,145.979996,141.300262,1538800
2015-02-03,145.960007,148.750000,144.369995,148.580002,143.816895,1241400
2015-02-04,148.169998,152.880005,145.270004,150.539993,145.714066,1784300
2015-02-05,153.500000,153.910004,149.639999,150.360001,145.539795,1203700
2015-02-06,150.289993,150.589996,147.360001,147.740005,143.003845,1164200
2015-02-09,147.270004,149.229996,146.639999,147.149994,142.432678,756700
2015-02-10,148.729996,151.889999,148.000000,151.649994,146.788483,784700
2015-02-11,151.449997,153.770004,150.919998,153.320007,148.404953,717100
2015-02-12,154.000000,154.759995,152.820007,153.729996,148.801804,655800
2015-02-13,153.300003,153.619995,151.789993,152.669998,147.775757,727100
2015-02-17,152.619995,154.880005,152.399994,154.860001,149.895569,914900
2015-02-18,154.630005,155.449997,154.250000,155.399994,150.418243,724000
2015-02-19,154.399994,155.279999,153.130005,153.279999,148.366196,1064100
2015-02-20,153.080002,156.839996,152.660004,156.119995,151.115158,1293400
2015-02-23,156.559998,165.520004,156.539993,164.520004,159.245895,3259700
2015-02-24,164.509995,165.649994,163.639999,164.440002,159.168472,1024500
2015-02-25,164.440002,166.199997,163.880005,165.369995,160.068649,804000
2015-02-26,163.970001,164.500000,162.360001,163.350006,158.113419,1720000
2015-02-27,162.699997,165.750000,162.699997,164.380005,159.110382,1495300
2015-03-02,164.380005,164.850006,161.240005,162.000000,156.806671,2140400
2015-03-03,161.630005,162.000000,159.580002,160.250000,155.112793,1223500
2015-03-04,159.220001,161.350006,158.750000,160.220001,155.083740,2300900
2015-03-05,160.169998,162.809998,160.169998,162.110001,156.913132,972900
2015-03-06,160.949997,162.070007,159.149994,159.729996,154.609436,1245400
2015-03-09,160.089996,163.059998,159.820007,162.339996,157.135757,1046600
2015-03-10,160.619995,160.690002,158.160004,159.000000,153.902863,2359000
2015-03-11,159.580002,161.339996,159.000000,161.000000,155.838745,956700
2015-03-12,161.869995,164.380005,161.110001,164.279999,159.013565,992500
2015-03-13,163.490005,166.589996,162.630005,166.500000,161.162445,1525600
